Game ID,Sport,Bet Type,Side,Line,Odds,Projected Value,EV,Win Probability,Confidence,Home Team,Away Team,Game Time,Reasoning
87c446233100a0e10c8a9ae223b3d859,nba,totals,under,239.8,-109,221.3,0.1121,0.5800,0.7000,Miami Heat,Utah Jazz,2026-02-10 00:40,"Projected: 221.3 vs Line: 239.8 (Diff: -18.5). Win Prob: 58.0%, EV: 11.21%. "
b664e9dae2af4118d7572e95a333b93e,nba,totals,under,237.6,-110,221.3,0.1073,0.5800,0.7000,Minnesota Timberwolves,Atlanta Hawks,2026-02-10 01:10,"Projected: 221.3 vs Line: 237.6 (Diff: -16.3). Win Prob: 58.0%, EV: 10.73%. "
f3e4369053da36c11257f3b1498bd0e6,nba,totals,under,230.6,-111,217.7,0.0986,0.5780,0.7000,New Orleans Pelicans,Sacramento Kings,2026-02-10 01:10,"Projected: 217.7 vs Line: 230.6 (Diff: -12.9). Win Prob: 57.8%, EV: 9.86%. "
55ce3994bdb669f780eb1021014461cf,nba,totals,under,239.3,-111,221.0,0.1025,0.5800,0.7000,Denver Nuggets,Cleveland Cavaliers,2026-02-10 02:10,"Projected: 221.0 vs Line: 239.3 (Diff: -18.3). Win Prob: 58.0%, EV: 10.25%. "
7c8edd09283c5268205c6029a589798f,nba,totals,under,230.7,-111,218.8,0.0930,0.5750,0.7000,Portland Trail Blazers,76ers,2026-02-10 03:10,"Projected: 218.8 vs Line: 230.7 (Diff: -11.9). Win Prob: 57.5%, EV: 9.30%. "
4b884b7909ec80756fc09db4223867b4,ncaab,totals,over,147.0,-119,175.5,0.0674,0.5800,0.5000,Chicago St Cougars,St. Francis (PA) Red Flash,2026-02-09 21:06,"Projected: 175.5 vs Line: 147.0 (Diff: +28.5). Win Prob: 58.0%, EV: 6.74%. "
c43b3359273f53a5789c055ef2709ba8,ncaab,totals,over,135.2,-109,175.5,0.1121,0.5800,0.5000,Bucknell Bison,Navy Midshipmen,2026-02-09 23:00,"Projected: 175.5 vs Line: 135.2 (Diff: +40.3). Win Prob: 58.0%, EV: 11.21%. "
eb23a44bdf173b22dfcdd6bfaedb960c,ncaab,totals,over,155.9,-108,175.5,0.1170,0.5800,0.5000,Arkansas-Pine Bluff Golden Lions,Jackson St Tigers,2026-02-09 23:30,"Projected: 175.5 vs Line: 155.9 (Diff: +19.6). Win Prob: 58.0%, EV: 11.70%. "
c495ba66d7c26d04ae2d33c198b70e7a,ncaab,totals,over,160.4,-49,175.7,0.7637,0.5800,0.5000,St. John's Red Storm,Xavier Musketeers,2026-02-09 23:30,"Projected: 175.7 vs Line: 160.4 (Diff: +15.3). Win Prob: 58.0%, EV: 76.37%. "
315aacd12d99ac1fccfdc3cb66c9a966,ncaab,totals,over,150.5,-109,174.8,0.1121,0.5800,0.5000,Bethune-Cookman Wildcats,Texas Southern Tigers,2026-02-10 00:00,"Projected: 174.8 vs Line: 150.5 (Diff: +24.3). Win Prob: 58.0%, EV: 11.21%. "
8589ec2198f46e55ff1b9b77c5e78918,ncaab,totals,over,146.1,-109,176.6,0.1121,0.5800,0.5000,North Alabama Lions,Central Arkansas Bears,2026-02-10 00:00,"Projected: 176.6 vs Line: 146.1 (Diff: +30.5). Win Prob: 58.0%, EV: 11.21%. "
f148ba7834596747b5dc84c7f5298d5d,ncaab,totals,over,148.1,-111,176.6,0.1025,0.5800,0.5000,Florida A&M Rattlers,Prairie View Panthers,2026-02-10 00:00,"Projected: 176.6 vs Line: 148.1 (Diff: +28.5). Win Prob: 58.0%, EV: 10.25%. "
bd865c79996e9695c5d8b33e2665e179,ncaab,totals,over,147.9,-108,177.4,0.1170,0.5800,0.5000,Howard Bison,Yale Bulldogs,2026-02-10 00:00,"Projected: 177.4 vs Line: 147.9 (Diff: +29.5). Win Prob: 58.0%, EV: 11.70%. "
5ced6df07a8d42d0c5f1cd7d2b67c7c7,ncaab,totals,over,137.5,-109,175.5,0.1121,0.5800,0.5000,SE Louisiana Lions,Incarnate Word Cardinals,2026-02-10 00:00,"Projected: 175.5 vs Line: 137.5 (Diff: +38.0). Win Prob: 58.0%, EV: 11.21%. "
4afdb0df12052859783d2c5a346162ea,ncaab,totals,over,147.1,-108,175.5,0.1170,0.5800,0.5000,Indiana St Sycamores,Southern Illinois Salukis,2026-02-10 00:00,"Projected: 175.5 vs Line: 147.1 (Diff: +28.4). Win Prob: 58.0%, EV: 11.70%. "
04459d9e0e0db9a14f824ad9d8f707b4,ncaab,totals,over,136.2,-108,175.5,0.1170,0.5800,0.5000,Lamar Cardinals,Northwestern St Demons,2026-02-10 00:00,"Projected: 175.5 vs Line: 136.2 (Diff: +39.3). Win Prob: 58.0%, EV: 11.70%. "
5e1aa928201fd5c2d87346ed74e4d0c4,ncaab,totals,over,161.6,-110,177.9,0.1073,0.5800,0.5000,Louisville Cardinals,NC State Wolfpack,2026-02-10 00:00,"Projected: 177.9 vs Line: 161.6 (Diff: +16.3). Win Prob: 58.0%, EV: 10.73%. "
6f8e0c0f66ffd89ca900da48ce897172,ncaab,totals,over,135.6,-112,175.5,0.0979,0.5800,0.5000,Grambling St Tigers,Alabama A&M Bulldogs,2026-02-10 00:30,"Projected: 175.5 vs Line: 135.6 (Diff: +39.9). Win Prob: 58.0%, EV: 9.79%. "
33cc21cd8951ab80e32e7269e2a1e7b7,ncaab,totals,over,144.4,-110,175.9,0.1073,0.5800,0.5000,Drake Bulldogs,Valparaiso Beacons,2026-02-10 00:30,"Projected: 175.9 vs Line: 144.4 (Diff: +31.5). Win Prob: 58.0%, EV: 10.73%. "
720b5f750b813d58610fe1904e537cca,ncaab,totals,over,143.5,-50,175.5,0.7400,0.5800,0.5000,Stephen F. Austin Lumberjacks,East Texas A&M Lions,2026-02-10 00:30,"Projected: 175.5 vs Line: 143.5 (Diff: +32.0). Win Prob: 58.0%, EV: 74.00%. "
3cd43d525d3ec74dd7e5340908b88891,ncaab,totals,over,137.0,-111,175.5,0.1025,0.5800,0.5000,McNeese Cowboys,Houston Christian Huskies,2026-02-10 00:30,"Projected: 175.5 vs Line: 137.0 (Diff: +38.5). Win Prob: 58.0%, EV: 10.25%. "
e5fd69a1f7038b43548ffcc63ad37a14,ncaab,totals,over,147.6,-109,175.5,0.1121,0.5800,0.5000,Nicholls St Colonels,UT Rio Grande Valley Vaqueros,2026-02-10 00:30,"Projected: 175.5 vs Line: 147.6 (Diff: +27.9). Win Prob: 58.0%, EV: 11.21%. "
c9bc6c74a39a82436636610d09754453,ncaab,totals,over,140.1,-109,175.5,0.1121,0.5800,0.5000,Miss Valley St Delta Devils,Alcorn St Braves,2026-02-10 01:00,"Projected: 175.5 vs Line: 140.1 (Diff: +35.4). Win Prob: 58.0%, EV: 11.21%. "
41ebe0bb482d21b76fc0b72fb9ba69cc,ncaab,totals,over,152.8,-112,177.3,0.0979,0.5800,0.5000,Bradley Braves,Belmont Bruins,2026-02-10 01:00,"Projected: 177.3 vs Line: 152.8 (Diff: +24.5). Win Prob: 58.0%, EV: 9.79%. "
cdda07a8325f953c25abce8eab6ab988,ncaab,totals,over,148.4,-110,175.5,0.1073,0.5800,0.5000,Charleston Cougars,UNC Wilmington Seahawks,2026-02-10 01:00,"Projected: 175.5 vs Line: 148.4 (Diff: +27.1). Win Prob: 58.0%, EV: 10.73%. "
d10035d9f46a6ebcfd33bc6f6b23fe5c,ncaab,totals,over,135.2,-110,174.8,0.1073,0.5800,0.5000,North Carolina Central Eagles,Delaware St Hornets,2026-02-10 01:00,"Projected: 174.8 vs Line: 135.2 (Diff: +39.6). Win Prob: 58.0%, EV: 10.73%. "
af81c651b77df25f8746eb68af96c7dd,ncaab,totals,over,137.9,-110,175.5,0.1073,0.5800,0.5000,Evansville Purple Aces,Illinois St Redbirds,2026-02-10 01:00,"Projected: 175.5 vs Line: 137.9 (Diff: +37.6). Win Prob: 58.0%, EV: 10.73%. "
