Game ID,Sport,Bet Type,Side,Line,Odds,Projected Value,EV,Win Probability,Confidence,Home Team,Away Team,Game Time,Reasoning
029d9c1b39d0cd27d90931850a1f0bbd,nba,spreads,away,11.8,-108,-3.5,0.0735,0.5574,0.6000,Knicks,Indiana Pacers,2026-02-11 00:30,"Projected Margin: +3.5 vs Line: 11.8. Win Prob: 55.7%, EV: 7.35%. "
a431f33f9135f054bfd08b6f0d341497,nba,totals,under,228.9,-109,221.0,0.0664,0.5561,0.7000,Phoenix Suns,Dallas Mavericks,2026-02-11 02:00,"Projected: 221.0 vs Line: 228.9 (Diff: -7.9). Win Prob: 55.6%, EV: 6.64%. "
3abaf28550da137114cba0daec6fe134,nba,totals,under,227.4,-109,220.2,0.0547,0.5501,0.7000,Lakers,San Antonio Spurs,2026-02-11 03:30,"Projected: 220.2 vs Line: 227.4 (Diff: -7.2). Win Prob: 55.0%, EV: 5.47%. "
ed03bc09ae782d3baf7766a569b206d8,ncaab,totals,over,158.7,-113,175.5,0.0933,0.5800,0.5000,IUPUI Jaguars,Milwaukee Panthers,2026-02-10 23:30,"Projected: 175.5 vs Line: 158.7 (Diff: +16.8). Win Prob: 58.0%, EV: 9.33%. "
0dd35434632eb878faa3d79338acf8f9,ncaab,totals,over,161.6,-108,180.9,0.1170,0.5800,0.5000,Auburn Tigers,Vanderbilt Commodores,2026-02-11 00:00,"Projected: 180.9 vs Line: 161.6 (Diff: +19.3). Win Prob: 58.0%, EV: 11.70%. "
20f50fca14d9bdade26c32c0d4dc96bd,ncaab,totals,over,158.6,-108,179.8,0.1170,0.5800,0.5000,Baylor Bears,BYU Cougars,2026-02-11 00:00,"Projected: 179.8 vs Line: 158.6 (Diff: +21.2). Win Prob: 58.0%, EV: 11.70%. "
f8a1c815dae7076ea0205a4cbaa27b79,ncaab,totals,over,152.2,-109,175.5,0.1121,0.5800,0.5000,Florida St Seminoles,Virginia Cavaliers,2026-02-11 00:00,"Projected: 175.5 vs Line: 152.2 (Diff: +23.3). Win Prob: 58.0%, EV: 11.21%. "
34f33672fa0b7d2cd9d2c2d38998683d,ncaab,totals,over,134.6,-111,175.5,0.1025,0.5800,0.5000,Saint Joseph's Hawks,Fordham Rams,2026-02-11 00:00,"Projected: 175.5 vs Line: 134.6 (Diff: +40.9). Win Prob: 58.0%, EV: 10.25%. "
9553c659015212001d837cd86ff2e4b8,ncaab,totals,over,149.4,-108,175.5,0.1170,0.5800,0.5000,GW Revolutionaries,Rhode Island Rams,2026-02-11 00:00,"Projected: 175.5 vs Line: 149.4 (Diff: +26.1). Win Prob: 58.0%, EV: 11.70%. "
b92b372a05599d66fc3458da68b24fca,ncaab,totals,over,141.2,-110,175.5,0.1073,0.5800,0.5000,Richmond Spiders,George Mason Patriots,2026-02-11 00:00,"Projected: 175.5 vs Line: 141.2 (Diff: +34.3). Win Prob: 58.0%, EV: 10.73%. "
f9f88ff2ea980bba02d9ca1f01b06325,ncaab,totals,over,156.9,-111,179.2,0.1025,0.5800,0.5000,Miami Hurricanes,North Carolina Tar Heels,2026-02-11 00:00,"Projected: 179.2 vs Line: 156.9 (Diff: +22.3). Win Prob: 58.0%, EV: 10.25%. "
07f42219e9fef5484a656d6b23a4d341,ncaab,totals,over,148.5,-111,177.2,0.1025,0.5800,0.5000,Nebraska Cornhuskers,Purdue Boilermakers,2026-02-11 00:00,"Projected: 177.2 vs Line: 148.5 (Diff: +28.7). Win Prob: 58.0%, EV: 10.25%. "
53c82d64d9fee3128730f3f1e0d77b1f,ncaab,totals,over,153.0,-109,174.9,0.1121,0.5800,0.5000,SMU Mustangs,Notre Dame Fighting Irish,2026-02-11 00:00,"Projected: 174.9 vs Line: 153.0 (Diff: +21.9). Win Prob: 58.0%, EV: 11.21%. "
b6fc8657d9ab49b56b0aafb574e8ef80,ncaab,totals,over,145.2,-109,175.5,0.1121,0.5800,0.5000,Villanova Wildcats,Marquette Golden Eagles,2026-02-11 00:30,"Projected: 175.5 vs Line: 145.2 (Diff: +30.3). Win Prob: 58.0%, EV: 11.21%. "
8dc00b873f18a07bf9bfd8658e5d95cd,ncaab,totals,over,131.9,-111,173.2,0.1025,0.5800,0.5000,Western Illinois Leathernecks,Eastern Illinois Panthers,2026-02-11 01:30,"Projected: 173.2 vs Line: 131.9 (Diff: +41.3). Win Prob: 58.0%, EV: 10.25%. "
4f3debdc9036596ec9d80b0b8a511085,ncaab,totals,over,134.5,-110,175.5,0.1073,0.5800,0.5000,Air Force Falcons,Colorado St Rams,2026-02-11 02:00,"Projected: 175.5 vs Line: 134.5 (Diff: +41.0). Win Prob: 58.0%, EV: 10.73%. "
459a8bebd3973213c942a7d254d8ebf0,ncaab,totals,over,161.2,-109,175.5,0.1121,0.5800,0.5000,Arizona St Sun Devils,Oklahoma St Cowboys,2026-02-11 02:00,"Projected: 175.5 vs Line: 161.2 (Diff: +14.3). Win Prob: 58.0%, EV: 11.21%. "
a71ee5a69ce1536df83ded23cf2aa871,ncaab,totals,over,159.7,-110,177.1,0.1073,0.5800,0.5000,LSU Tigers,Arkansas Razorbacks,2026-02-11 02:00,"Projected: 177.1 vs Line: 159.7 (Diff: +17.4). Win Prob: 58.0%, EV: 10.73%. "
42d29a42babbc2928a9b5d2985226bf8,ncaab,totals,over,136.6,-110,175.5,0.1073,0.5800,0.5000,Pittsburgh Panthers,Duke Blue Devils,2026-02-11 02:00,"Projected: 175.5 vs Line: 136.6 (Diff: +38.9). Win Prob: 58.0%, EV: 10.73%. "
67d953054b3954d8338c2d0e0222c117,ncaab,totals,over,151.2,-110,175.5,0.1073,0.5800,0.5000,Utah State Aggies,Fresno St Bulldogs,2026-02-11 02:00,"Projected: 175.5 vs Line: 151.2 (Diff: +24.3). Win Prob: 58.0%, EV: 10.73%. "
6e0cb367f080305c00b5bd6a82a040b3,ncaab,totals,over,143.1,-112,176.2,0.0979,0.5800,0.5000,Utah Utes,Houston Cougars,2026-02-11 02:00,"Projected: 176.2 vs Line: 143.1 (Diff: +33.1). Win Prob: 58.0%, EV: 9.79%. "
2f6463d2739cf0dc856b01fcea5ad127,ncaab,totals,over,147.1,-109,178.1,0.1121,0.5800,0.5000,TCU Horned Frogs,Iowa State Cyclones,2026-02-11 02:00,"Projected: 178.1 vs Line: 147.1 (Diff: +31.0). Win Prob: 58.0%, EV: 11.21%. "
692fd5cbb5f2ed0afb60dcab3935315c,ncaab,totals,over,155.2,-109,175.5,0.1121,0.5800,0.5000,Gonzaga Bulldogs,Washington St Cougars,2026-02-11 04:00,"Projected: 175.5 vs Line: 155.2 (Diff: +20.3). Win Prob: 58.0%, EV: 11.21%. "
63b91223282b548daba34512b8dc8e03,ncaab,totals,over,151.5,-110,175.5,0.1073,0.5800,0.5000,UNLV Rebels,San José St Spartans,2026-02-11 04:00,"Projected: 175.5 vs Line: 151.5 (Diff: +24.0). Win Prob: 58.0%, EV: 10.73%. "
